,pack_size,product_prices,product_title,rating_counts
0,500 g,$19.80,Wow Korean Spicy Baby Octopus - Frozen,(328)
1,40 × 320 ml,$72.90,Tiger Lager Beer Can 40x320ml,(1742)
2,184.2 g,$4.75,Lay's Classic Potato Chips,(1278)
3,4 × 38 per pack,$86.24,MamyPoko Air Fit Pants Diaper Boy XL - Case - By Unicharm,(49)
4,24 × 325 ml,$12.20,100PLUS Zero Sugar - Case,(1239)
5,500 g,$13.00,Vatan Se Fresh Paneer,(289)
6,300 g,$2.50,Gold+ China Golden Kiwi,(0)
7,250 g,$3.37,Meat Co. Pork Mince - Frozen,(4)
8,300 g,$7.28,RedMart Australian Certified Free Range Pork Chop - Frozen Pork,(0)
9,10 × 650 g,$14.80,Daneg Organic Free Range Egg,(12)
10,100 g,$2.60,N&N Nitamago Ramen Eggs (2pcs/pkt) - Ready To Eat,(7)
11,6 per pack,$9.80,Crystal Jade Traditional Hong Kong BBQ Pork Bun - Frozen,(18)
12,150 g,$6.23,Sustenir Green Curly Kale Salad,(885)
13,800 g,$3.96,China Fuji Apples Pack,(1345)
14,2.5 kg,$20.80,LOVE BIO Organic Western Box 2-3kg,(12)
15,900 g,$5.56,Australia Rockmelon (Small),(813)
16,500 g,$6.80,Australia R2E2 Mango,(113)
17,700 g,$41.31,Premium Korean Shine Muscat,(21)
18,24 × 85 g,$26.57,Fancy Feast Classic Tender Liver Chicken Case,(41)
19,710 ml,$24.60,Bausch and Lomb Renu Fresh 355ml x 2 + Gifts,(42)
20,7 L,$13.80,Kit Cat Soya Clump Soybean Litter (Strawberry),(37)
21,1.8 kg,$58.75,Abbott GROW School Vanilla Stage 5 Growing-Up Baby Formula,(85)
22,6 × 355 ml,$25.00,Kona Longboard Hawaiian Lager - 6 Pack,(9)
23,24 × 270 ml,$88.80,COCOLOCO Organic Coconut Water (carton),(47)
24,200 g,$2.40,Farm Fresh Chicken Fillets,(111)
25,320 g,$8.80,Farm Fresh GG French Poulet Leg Boneless,(43)
26,1100 g,$16.50,Farm Fresh GG French Poulet Whole Large Without Head and Feet,(62)
27,200 g,$5.40,Serve by Hai Sia Seafood Fresh Barramundi Chunks,(49)
28,200 g,$1.80,Farm Fresh Chicken Drumstick,(78)
29,350 g,$6.50,Farm Fresh GG French Poulet Wing Drumlets,(10)
30,200 g,$6.45,RedMart JUMBO Blueberries (Eco-friendly packaging),(80)
31,400 g,$7.20,RedMart Cage Free Australian Whole Chicken Thigh,(85)
32,12 × 1 L,$28.90,RedMart Natural Coconut Water - Case,(181)
33,24 × 600 ml,$5.75,RedMart Pure Drinking Water - Case,(2083)
34,24 × 220 per pack,$11.70,RedMart Luxuriously Soft 3-Ply Toilet Tissue - 24 Rolls,(2392)
35,250 ml,$2.61,RedMart Anti-Bacterial Lavender Foaming Handwash,(890)
36,1 per pack,$5.90,Partyforte Deepavali Scented Sambrani - Lavender Sambrani,(0)
37,1 per pack,$9.90,Waxworks Citronella Pillar Candle - Green,(2)
38,12 per pack,$6.90,Sing Kong Whee Metallic Floating Candles - Glitzy Gold,(1)
39,50 per pack,$40.00,CGS No. A-3 Gift Box - Silver (50Pcs),(0)
40,1 per pack,$11.00,CGS 10m 100 LED Battery Operated Bendable Wire Fairy Lights (Multi/Transparent Wire),(1)
41,1 per pack,$9.00,CGS Led Plastic Alphabet Decoration (G) - Party Decoration,(0)
42,6 × 750 ml,$90.00,Greedy Bird South Australia Moscato - Case,(6)
43,6 × 750 ml,$119.90,Misty Cove Estate Marlborough Sauvignon Blanc - Case,(71)
44,6 × 750 ml,$140.50,Matua Valley Marlborough Pinot Noir Red Wine - Case,(23)
45,6 × 750 ml,$113.00,World's Cellar Cathedral Cove Merlot Cabernet - Case,(41)
46,6 × 750 ml,$399.00,Veuve Clicquot Yellow Label Champagne - Case,(9)
47,6 × 750 ml,$140.50,Matua Valley Marlborough Sauvignon Blanc - Case,(85)
48,8 kg,$8.95,Angel Pure Premium Cat Litter,(126)
49,85 g,$1.40,SHEBA Succulent Chicken Breast Can Wet Cat Food,(59)
50,60 g,$4.50,Friskies Party Mix Original Crunch Cat Treat,(72)
51,60 g,$5.90,Absolute Holistic Lobster Bisque (Wild Tuna And Mountain Lobster),(10)
52,80 g,$2.65,PEDIGREE Meat Jerky BBQ Chicken Dog Treat,(53)
53,85 g,$1.40,SHEBA Tuna and Salmon in Gravy Can Wet Cat Food,(87)
54,170 g,$3.00,Nestle Kit Kat Dark Chocolate Block Chocolate,(4)
55,9 × 27 g,$2.50,Ritz Sandwich Lemon Biscuit Multipack,(134)
56,200 g,$6.90,7D Dried Mangoes 200G,(545)
57,135.6 g,$4.85,NESTLE KIT KAT Mini Otoama Dark Chocolate,(371)
58,48 g,$5.90,CJ Bibigo Korean Soy Sauce Seaweed,(17)
59,312.5 g,$6.75,Lotus Biscoff - Original Caramelized Biscuits (50 packs),(356)
60,750 ml,$10.90,Pantene Silky Smooth Care Shampoo,(474)
61,720 ml,$14.60,Head & Shoulders Cool Menthol Anti-Dandruff Shampoo,(461)
62,3 × 100 ml,$10.60,Oral-B Tooth And Gum Care Fresh Mint Toothpaste Triple Pack,(418)
63,750 ml,$10.90,Pantene Hair Fall Control Shampoo,(359)
64,2 per pack,$9.45,Oral-B Essential Floss Waxed Dental Floss - 2x50M,(215)
65,16 × 2 per pack,$9.95,Whisper Heavy Flow And Overnights Wing Sanitary Pads 28CM,(225)
66,24 × 200 ml,$12.78,MILO UHT Chocolate Malt Packet Drink (5+1) - Case,(5575)
67,12 × 1.5 L,$5.43,RedMart Pure Drinking Water - Case,(4850)
68,12 × 1.5 L,$7.20,Dasani Drinking Water (12 x 1.5L) - Case,(3986)
69,24 × 600 ml,$5.75,RedMart Pure Drinking Water - Case,(2083)
70,12 × 1.5 L,$7.20,Ice Mountain Pure Drinking Water - Case,(3361)
71,24 × 325 ml,$12.20,100PLUS Isotonic Drink - Case,(2382)
72,900 g,$42.30,Enfagrow A+ Stage 3 Baby Formula Milk Powder (1-3Y),(128)
73,1.8 kg,$80.65,Enfagrow A+ Stage 3 Baby Formula Milk Powder (1-3Y),(318)
74,900 g,$52.70,Enfagrow A+ Stage 3 Gentlease Baby Formula Milk Powder (1-3Y),(41)
75,1270 g,$55.70,Enfagrow A+ Gentlease S3 360DHA+ 900G FOC 370G,(1)
76,6 × 900 g,$251.80,Enfagrow A+ Stage 3 Baby Formula Milk Powder 360DHA+ (1-3Y) 900g Baby Formula,(14)
77,900 g,$37.20,Enfagrow A+ Stage 4 Baby Formula Milk Powder (3-6Y),(66)
78,2.7 L,$12.55,Persil Anti-Bacterial Low Suds Concentrated Liquid Detergent,(584)
79,5 kg,$14.75,Persil Fibre Intelligent Low Suds Powder Detergent,(1330)
